dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name
winogrande-m-option,MC-SENT-PAIR,2.00E-05,64,40,194859,0.5824782952,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_64_max-epochs_40_seed_194859
winogrande-m-option,MC-SENT-PAIR,2.00E-05,64,40,365912,0.5824782952,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_64_max-epochs_40_seed_365912
winogrande-m-option,MC-MLM,3.00E-05,32,20,269349,0.5785319653,winogrande-m-option_MC-MLM_lr_3e-05_bs_32_max-epochs_20_seed_269349
winogrande-m-option,MC-SENT,1.00E-05,16,20,846931,0.5769534333,winogrande-m-option_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_846931
winogrande-m-option,MC-SENT,1.00E-05,16,20,670018,0.5769534333,winogrande-m-option_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_670018
winogrande-m-option,MC-MLM,2.00E-05,64,20,614121,0.5761641673,winogrande-m-option_MC-MLM_lr_2e-05_bs_64_max-epochs_20_seed_614121
winogrande-m-option,MC-MLM,2.00E-05,32,40,425262,0.5761641673,winogrande-m-option_MC-MLM_lr_2e-05_bs_32_max-epochs_40_seed_425262
winogrande-m-option,MC-SENT-PAIR,3.00E-05,32,20,112155,0.5745856354,winogrande-m-option_MC-SENT-PAIR_lr_3e-05_bs_32_max-epochs_20_seed_112155
winogrande-m-option,MC-MLM,2.00E-05,16,20,234879,0.5745856354,winogrande-m-option_MC-MLM_lr_2e-05_bs_16_max-epochs_20_seed_234879
winogrande-m-option,MC-SENT-PAIR,2.00E-05,64,40,841830,0.5730071034,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_64_max-epochs_40_seed_841830
winogrande-m-option,MC-MLM,1.00E-05,8,40,2129,0.5730071034,winogrande-m-option_MC-MLM_lr_1e-05_bs_8_max-epochs_40_seed_2129
winogrande-m-option,MC-MLM,1.00E-05,16,40,62943,0.5730071034,winogrande-m-option_MC-MLM_lr_1e-05_bs_16_max-epochs_40_seed_62943
winogrande-m-option,MC-SENT-PAIR,1.00E-05,8,40,69055,0.5706393054,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_8_max-epochs_40_seed_69055
winogrande-m-option,MC-SENT,1.00E-05,32,40,434050,0.5706393054,winogrande-m-option_MC-SENT_lr_1e-05_bs_32_max-epochs_40_seed_434050
winogrande-m-option,MC-MLM,1.00E-05,8,20,967400,0.5706393054,winogrande-m-option_MC-MLM_lr_1e-05_bs_8_max-epochs_20_seed_967400
winogrande-m-option,MC-MLM,2.00E-05,16,40,930228,0.5698500395,winogrande-m-option_MC-MLM_lr_2e-05_bs_16_max-epochs_40_seed_930228
winogrande-m-option,MC-SENT,1.00E-05,64,40,208175,0.5674822415,winogrande-m-option_MC-SENT_lr_1e-05_bs_64_max-epochs_40_seed_208175
winogrande-m-option,MC-MLM,1.00E-05,32,40,462515,0.5674822415,winogrande-m-option_MC-MLM_lr_1e-05_bs_32_max-epochs_40_seed_462515
winogrande-m-option,MC-SENT-PAIR,1.00E-05,32,40,448442,0.5659037096,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_32_max-epochs_40_seed_448442
