dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,64,40,130308,0.6764009471191792,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_64_max-epochs_40_seed_130308,1248,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,64,40,383100,0.665351223362273,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_64_max-epochs_40_seed_383100,468,1287,1598,True
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,64,40,109711,0.665351223362273,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_64_max-epochs_40_seed_109711,468,1287,1598,True
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,8,10,238629,0.664561957379637,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_8_max-epochs_10_seed_238629,3190,3197,3197,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,40,774571,0.6629834254143646,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_40_seed_774571,2923,3197,3197,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,20,371676,0.659037095501184,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_20_seed_371676,1501,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,20,791495,0.659037095501184,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_20_seed_791495,1501,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,20,884960,0.659037095501184,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_20_seed_884960,1501,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,20,227661,0.659037095501184,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_20_seed_227661,1501,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,32,20,134486,0.659037095501184,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_32_max-epochs_20_seed_134486,1501,1598,1598,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,8,40,742840,0.6535122336227308,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_8_max-epochs_40_seed_742840,10527,12790,12790,False
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,32,40,390613,0.6511444356748224,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_32_max-epochs_40_seed_390613,1185,2844,3197,True
winogrande-m-option,MC-SENT-PAIR-QUAD,3e-05,64,20,851139,0.5382794001578532,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_3e-05_bs_64_max-epochs_20_seed_851139,78,799,799,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,64,10,381565,0.5327545382794001,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_64_max-epochs_10_seed_381565,273,399,399,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,64,10,221628,0.5327545382794001,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_64_max-epochs_10_seed_221628,273,399,399,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,8,40,756947,0.5280189423835833,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_8_max-epochs_40_seed_756947,7656,12790,12790,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,8,20,105993,0.5272296764009471,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_8_max-epochs_20_seed_105993,4147,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,8,20,562355,0.526440410418311,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_8_max-epochs_20_seed_562355,6061,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,8,20,326976,0.526440410418311,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_8_max-epochs_20_seed_326976,6061,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,16,40,620209,0.526440410418311,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_16_max-epochs_40_seed_620209,3657,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,3e-05,8,10,896302,0.5256511444356748,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_3e-05_bs_8_max-epochs_10_seed_896302,2552,3197,3197,False
winogrande-m-option,MC-SENT-PAIR-QUAD,3e-05,64,40,306566,0.5256511444356748,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_3e-05_bs_64_max-epochs_40_seed_306566,546,1365,1598,True
winogrande-m-option,MC-SENT-PAIR-QUAD,2e-05,8,20,672351,0.5256511444356748,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_2e-05_bs_8_max-epochs_20_seed_672351,6061,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,3e-05,16,40,432601,0.5248618784530387,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_3e-05_bs_16_max-epochs_40_seed_432601,3339,6395,6395,False
winogrande-m-option,MC-SENT-PAIR-QUAD,1e-05,64,40,152680,0.5240726124704025,winogrande-m-option_MC-SENT-PAIR-QUAD_lr_1e-05_bs_64_max-epochs_40_seed_152680,975,1598,1598,False
