,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
0,2,2,wsc-spacy,MC-MLM,2e-05,8,20,389695,0.8846153846153846,wsc-spacy_MC-MLM_lr_2e-05_bs_8_max-epochs_20_seed_389695,256.0,647.0,647.0,False
1,8,8,wsc-spacy,MC-MLM,2e-05,32,40,313685,0.8653846153846154,wsc-spacy_MC-MLM_lr_2e-05_bs_32_max-epochs_40_seed_313685,112.0,280.0,323.0,True
2,11,11,wsc-spacy,MC-MLM,2e-05,64,20,699862,0.8653846153846154,wsc-spacy_MC-MLM_lr_2e-05_bs_64_max-epochs_20_seed_699862,24.0,80.0,80.0,False
3,12,12,wsc-spacy,MC-MLM,2e-05,64,20,188952,0.8653846153846154,wsc-spacy_MC-MLM_lr_2e-05_bs_64_max-epochs_20_seed_188952,24.0,80.0,80.0,False
4,14,14,wsc-spacy,MC-MLM,1e-05,16,40,621063,0.8557692307692307,wsc-spacy_MC-MLM_lr_1e-05_bs_16_max-epochs_40_seed_621063,160.0,496.0,647.0,True
5,17,17,wsc-spacy,MC-MLM,1e-05,8,20,709319,0.8557692307692307,wsc-spacy_MC-MLM_lr_1e-05_bs_8_max-epochs_20_seed_709319,416.0,647.0,647.0,False
6,19,19,wsc-spacy,MC-MLM,1e-05,16,40,709915,0.8557692307692307,wsc-spacy_MC-MLM_lr_1e-05_bs_16_max-epochs_40_seed_709915,160.0,496.0,647.0,True
7,21,21,wsc-spacy,MC-MLM,1e-05,32,20,413944,0.8461538461538461,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_20_seed_413944,88.0,161.0,161.0,False
8,22,22,wsc-spacy,MC-MLM,1e-05,32,20,471521,0.8461538461538461,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_20_seed_471521,88.0,161.0,161.0,False
9,25,25,wsc-spacy,MC-MLM,2e-05,32,40,151150,0.8461538461538461,wsc-spacy_MC-MLM_lr_2e-05_bs_32_max-epochs_40_seed_151150,96.0,264.0,323.0,True
10,26,26,wsc-spacy,MC-MLM,2e-05,16,10,2426,0.8461538461538461,wsc-spacy_MC-MLM_lr_2e-05_bs_16_max-epochs_10_seed_2426,32.0,161.0,161.0,False
11,27,27,wsc-spacy,MC-MLM,1e-05,16,20,15157,0.8461538461538461,wsc-spacy_MC-MLM_lr_1e-05_bs_16_max-epochs_20_seed_15157,144.0,323.0,323.0,False
12,28,28,wsc-spacy,MC-MLM,1e-05,8,40,234383,0.8461538461538461,wsc-spacy_MC-MLM_lr_1e-05_bs_8_max-epochs_40_seed_234383,800.0,1295.0,1295.0,False
13,29,29,wsc-spacy,MC-MLM,2e-05,16,40,926704,0.8365384615384616,wsc-spacy_MC-MLM_lr_2e-05_bs_16_max-epochs_40_seed_926704,208.0,544.0,647.0,True
14,30,30,wsc-spacy,MC-MLM,1e-05,64,40,211949,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_64_max-epochs_40_seed_211949,44.0,128.0,161.0,True
